dato,skole,elevdag,laererdag,sfodag,kommentar
2016-09-07,Dalgård skole og ressurssenter,ja,ja,ja,
2016-09-08,Dalgård skole og ressurssenter,ja,ja,ja,
2016-09-09,Dalgård skole og ressurssenter,ja,ja,ja,
2016-09-10,Dalgård skole og ressurssenter,nei,nei,nei,Lørdag
2016-09-11,Dalgård skole og ressurssenter,nei,nei,nei,Søndag 
2016-09-12,Dalgård skole og ressurssenter,ja,ja,ja,
2016-09-13,Dalgård skole og ressurssenter,ja,ja,ja,
2016-09-14,Dalgård skole og ressurssenter,ja,ja,ja,
2016-09-15,Dalgård skole og ressurssenter,ja,ja,ja,
2016-09-16,Dalgård skole og ressurssenter,ja,ja,ja,
2016-09-17,Dalgård skole og ressurssenter,nei,nei,nei,Lørdag
2016-09-18,Dalgård skole og ressurssenter,nei,nei,nei,Søndag 
2016-09-19,Dalgård skole og ressurssenter,ja,ja,ja,
2016-09-20,Dalgård skole og ressurssenter,ja,ja,ja,
2016-09-21,Dalgård skole og ressurssenter,ja,ja,ja,
2016-09-22,Dalgård skole og ressurssenter,ja,ja,ja,
2016-09-23,Dalgård skole og ressurssenter,ja,ja,ja,
2016-09-24,Dalgård skole og ressurssenter,nei,nei,nei,Lørdag
2016-09-25,Dalgård skole og ressurssenter,nei,nei,nei,Søndag 
2016-09-26,Dalgård skole og ressurssenter,ja,ja,ja,
2016-09-27,Dalgård skole og ressurssenter,ja,ja,ja,
2016-09-28,Dalgård skole og ressurssenter,ja,ja,ja,
2016-09-29,Dalgård skole og ressurssenter,ja,ja,ja,
2016-09-30,Dalgård skole og ressurssenter,ja,ja,ja,
2016-10-01,Dalgård skole og ressurssenter,nei,nei,nei,Lørdag
2016-10-02,Dalgård skole og ressurssenter,nei,nei,nei,Søndag 
2016-10-03,Dalgård skole og ressurssenter,ja,ja,ja,
2016-10-04,Dalgård skole og ressurssenter,ja,ja,ja,
2016-10-05,Dalgård skole og ressurssenter,ja,ja,ja,
2016-10-06,Dalgård skole og ressurssenter,ja,ja,ja,
2016-10-07,Dalgård skole og ressurssenter,ja,ja,ja,
2016-10-08,Dalgård skole og ressurssenter,nei,nei,nei,Lørdag
2016-10-09,Dalgård skole og ressurssenter,nei,nei,nei,Søndag 
2016-10-10,Dalgård skole og ressurssenter,nei,nei,nei,Høstferie
2016-10-11,Dalgård skole og ressurssenter,nei,nei,nei,Høstferie
2016-10-12,Dalgård skole og ressurssenter,nei,nei,nei,Høstferie
2016-10-13,Dalgård skole og ressurssenter,nei,nei,nei,Høstferie
2016-10-14,Dalgård skole og ressurssenter,nei,nei,nei,Høstferie
2016-10-15,Dalgård skole og ressurssenter,nei,nei,nei,Lørdag
2016-10-16,Dalgård skole og ressurssenter,nei,nei,nei,Søndag 
2016-10-17,Dalgård skole og ressurssenter,Ja,Ja,Ja,
2016-10-18,Dalgård skole og ressurssenter,Ja,Ja,Ja,
2016-10-19,Dalgård skole og ressurssenter,Ja,Ja,Ja,
2016-10-20,Dalgård skole og ressurssenter,Ja,Ja,Ja,
2016-10-21,Dalgård skole og ressurssenter,Ja,Ja,Ja,
2016-10-22,Dalgård skole og ressurssenter,nei,nei,nei,Lørdag
